config_id,Actor/Criterion,weighted_sum_mean,weighted_sum_sem,n_seeds,rank_within_config,is_consensus_winner,consensus_winner_stability,weight_Demographic_Parity,weight_Equal_Opportunity,weight_Conditional_Outcome_Parity,weight_Total_Profit,weight_Accuracy,weight_Unexploited_Profit,weight_Total_Loss
0,Regulatory,0.733988215026027,0.008144160490702894,3,1,True,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,Bank,0.6674773139916373,0.015573932594832429,3,2,False,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,Compromise Programming,0.566993233489243,0.005437331808732894,3,3,False,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,Nash Bargaining,0.06003843674721146,0.039629776771454364,3,4,False,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,Kalai-Smorodinsky,0.05683608470473345,0.03852070000757326,3,5,False,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,Nash Social Welfare,0.03075244794004031,0.001211351248840847,3,6,False,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,Proportional Fairness,0.03075244794004031,0.001211351248840847,3,7,False,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,Maximin,0.008991682353576906,0.001420525799583671,3,8,False,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,Applicant,0.0,0.0,3,9,False,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,Regulatory,0.7107507390241663,0.013856251102953727,3,1,True,1.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0
1,Bank,0.6258671950643028,0.03338960936957758,3,2,False,,0.1,0.0,0.0,0.9,0.0,0.0,0.0
1,Compromise Programming,0.587649578210697,0.014947252165121076,3,3,False,,0.1,0.0,0.0,0.9,0.0,0.0,0.0
1,Nash Social Welfare,0.08557967281743473,0.022231172111355963,3,4,False,,0.1,0.0,0.0,0.9,0.0,0.0,0.0
1,Proportional Fairness,0.08557967281743473,0.022231172111355963,3,5,False,,0.1,0.0,0.0,0.9,0.0,0.0,0.0
1,Nash Bargaining,0.08359357638944737,0.046904370137193785,3,6,False,,0.1,0.0,0.0,0.9,0.0,0.0,0.0
1,Kalai-Smorodinsky,0.07608983216135108,0.05118598419711639,3,7,False,,0.1,0.0,0.0,0.9,0.0,0.0,0.0
1,Maximin,0.06597453287181493,0.01909954008219992,3,8,False,,0.1,0.0,0.0,0.9,0.0,0.0,0.0
1,Applicant,0.021257145386833137,0.01866329160652832,3,9,False,,0.1,0.0,0.0,0.9,0.0,0.0,0.0
2,Regulatory,0.6875132630223058,0.023849716160870855,3,1,True,0.6666666666666666,0.2,0.0,0.0,0.8,0.0,0.0,0.0
2,Compromise Programming,0.608305922932151,0.027499610061336936,3,2,False,,0.2,0.0,0.0,0.8,0.0,0.0,0.0
2,Bank,0.5842570761369682,0.051324856074964974,3,3,False,,0.2,0.0,0.0,0.8,0.0,0.0,0.0
2,Nash Social Welfare,0.14040689769482914,0.04427086368404452,3,4,False,,0.2,0.0,0.0,0.8,0.0,0.0,0.0
2,Proportional Fairness,0.14040689769482914,0.04427086368404452,3,5,False,,0.2,0.0,0.0,0.8,0.0,0.0,0.0
2,Maximin,0.12295738339005295,0.03805179993437723,3,6,False,,0.2,0.0,0.0,0.8,0.0,0.0,0.0
2,Nash Bargaining,0.10714871603168324,0.056189167613368896,3,7,False,,0.2,0.0,0.0,0.8,0.0,0.0,0.0
2,Kalai-Smorodinsky,0.09534357961796869,0.06404542976730562,3,8,False,,0.2,0.0,0.0,0.8,0.0,0.0,0.0
2,Applicant,0.04251429077366627,0.03732658321305664,3,9,False,,0.2,0.0,0.0,0.8,0.0,0.0,0.0
3,Regulatory,0.664275787020445,0.034594322497720924,3,1,True,0.3333333333333333,0.3,0.0,0.0,0.7,0.0,0.0,0.0
3,Compromise Programming,0.6289622676536049,0.04034834811875029,3,2,False,,0.3,0.0,0.0,0.7,0.0,0.0,0.0
3,Bank,0.5426469572096336,0.06928688106890828,3,3,False,,0.3,0.0,0.0,0.7,0.0,0.0,0.0
3,Nash Social Welfare,0.19523412257222353,0.06632134230779434,3,4,False,,0.3,0.0,0.0,0.7,0.0,0.0,0.0
3,Proportional Fairness,0.19523412257222353,0.06632134230779434,3,5,False,,0.3,0.0,0.0,0.7,0.0,0.0,0.0
3,Maximin,0.17994023390829095,0.05702156639579635,3,6,False,,0.3,0.0,0.0,0.7,0.0,0.0,0.0
3,Nash Bargaining,0.13070385567391912,0.0666492840494515,3,7,False,,0.3,0.0,0.0,0.7,0.0,0.0,0.0
3,Kalai-Smorodinsky,0.11459732707458631,0.07700182216433415,3,8,False,,0.3,0.0,0.0,0.7,0.0,0.0,0.0
3,Applicant,0.06377143616049939,0.05598987481958496,3,9,False,,0.3,0.0,0.0,0.7,0.0,0.0,0.0
4,Compromise Programming,0.6496186123750589,0.05327947329362917,3,1,True,0.3333333333333333,0.4,0.0,0.0,0.6,0.0,0.0,0.0
4,Regulatory,0.6410383110185843,0.04556171922782053,3,2,False,,0.4,0.0,0.0,0.6,0.0,0.0,0.0
4,Bank,0.5010368382822991,0.08725914923534665,3,3,False,,0.4,0.0,0.0,0.6,0.0,0.0,0.0
4,Nash Social Welfare,0.250061347449618,0.0883745338656667,3,4,False,,0.4,0.0,0.0,0.6,0.0,0.0,0.0
4,Proportional Fairness,0.250061347449618,0.0883745338656667,3,5,False,,0.4,0.0,0.0,0.6,0.0,0.0,0.0
4,Maximin,0.23692308442652896,0.07599573079656899,3,6,False,,0.4,0.0,0.0,0.6,0.0,0.0,0.0
4,Nash Bargaining,0.15425899531615503,0.07781216781217766,3,7,False,,0.4,0.0,0.0,0.6,0.0,0.0,0.0
4,Kalai-Smorodinsky,0.13385107453120396,0.0900133079376269,3,8,False,,0.4,0.0,0.0,0.6,0.0,0.0,0.0
4,Applicant,0.08502858154733255,0.07465316642611328,3,9,False,,0.4,0.0,0.0,0.6,0.0,0.0,0.0
