config_id,Actor/Criterion,weighted_sum_mean,weighted_sum_sem,n_seeds,rank_within_config,is_consensus_winner,consensus_winner_stability,weight_Demographic_Parity,weight_Equal_Opportunity,weight_Conditional_Outcome_Parity,weight_Total_Profit,weight_Accuracy,weight_Unexploited_Profit,weight_Total_Loss
0,Regulatory,0.7563866065935274,0.05230101832185735,17,1,True,0.47058823529411764,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Bank,0.4913432102871248,0.07345230226930854,17,2,False,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Compromise Programming,0.4851095315691514,0.08802114299176607,17,3,False,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Kalai-Smorodinsky,0.4196966019730685,0.08973065208211933,17,4,False,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Nash Bargaining,0.3913723956971664,0.08509054317131422,17,5,False,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Maximin,0.3680385053354224,0.053884684816680684,17,6,False,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Proportional Fairness,0.3645397410273361,0.0648047960069242,17,7,False,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Nash Social Welfare,0.3645397410273361,0.0648047960069242,17,8,False,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Applicant,0.25610445481058036,0.07116503408467457,17,9,False,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Regulatory,0.7569960688335104,0.05037240500650813,17,1,True,0.5294117647058824,0.95,0.0,0.0,0.0,0.05,0.0,0.0
1,Bank,0.5044861338063821,0.07035485200153442,17,2,False,,0.95,0.0,0.0,0.0,0.05,0.0,0.0
1,Compromise Programming,0.49208470514549263,0.0831710646788263,17,3,False,,0.95,0.0,0.0,0.0,0.05,0.0,0.0
1,Kalai-Smorodinsky,0.4141861195082055,0.08534705642306392,17,4,False,,0.95,0.0,0.0,0.0,0.05,0.0,0.0
1,Nash Bargaining,0.38748820757971186,0.08084601907519207,17,5,False,,0.95,0.0,0.0,0.0,0.05,0.0,0.0
1,Maximin,0.3621365800686513,0.05101569510553102,17,6,False,,0.95,0.0,0.0,0.0,0.05,0.0,0.0
1,Proportional Fairness,0.35980788887203297,0.06135735742821883,17,7,False,,0.95,0.0,0.0,0.0,0.05,0.0,0.0
1,Nash Social Welfare,0.35980788887203297,0.06135735742821883,17,8,False,,0.95,0.0,0.0,0.0,0.05,0.0,0.0
1,Applicant,0.25280277032745957,0.06733751649629367,17,9,False,,0.95,0.0,0.0,0.0,0.05,0.0,0.0
2,Regulatory,0.7576055310734937,0.048445615186191254,17,1,True,0.5294117647058824,0.9,0.0,0.0,0.0,0.1,0.0,0.0
2,Bank,0.5176290573256394,0.06726135803989115,17,2,False,,0.9,0.0,0.0,0.0,0.1,0.0,0.0
2,Compromise Programming,0.49905987872183377,0.07832377576107392,17,3,False,,0.9,0.0,0.0,0.0,0.1,0.0,0.0
2,Kalai-Smorodinsky,0.4086756370433424,0.08096810653151801,17,4,False,,0.9,0.0,0.0,0.0,0.1,0.0,0.0
2,Nash Bargaining,0.38360401946225736,0.07660664761722824,17,5,False,,0.9,0.0,0.0,0.0,0.1,0.0,0.0
2,Maximin,0.35623465480188016,0.04814752160048137,17,6,False,,0.9,0.0,0.0,0.0,0.1,0.0,0.0
2,Proportional Fairness,0.3550760367167299,0.05791085277162401,17,7,False,,0.9,0.0,0.0,0.0,0.1,0.0,0.0
2,Nash Social Welfare,0.3550760367167299,0.05791085277162401,17,8,False,,0.9,0.0,0.0,0.0,0.1,0.0,0.0
2,Applicant,0.2495010858443388,0.06351037629623436,17,9,False,,0.9,0.0,0.0,0.0,0.1,0.0,0.0
3,Regulatory,0.7582149933134766,0.04652087543662278,17,1,True,0.5294117647058824,0.85,0.0,0.0,0.0,0.15,0.0,0.0
3,Bank,0.5307719808448965,0.0641723925399367,17,2,False,,0.85,0.0,0.0,0.0,0.15,0.0,0.0
3,Compromise Programming,0.506035052298175,0.07347982826981408,17,3,False,,0.85,0.0,0.0,0.0,0.15,0.0,0.0
3,Kalai-Smorodinsky,0.4031651545784793,0.0765945992138814,17,4,False,,0.85,0.0,0.0,0.0,0.15,0.0,0.0
3,Nash Bargaining,0.37971983134480286,0.07237333427251275,17,5,False,,0.85,0.0,0.0,0.0,0.15,0.0,0.0
