config_id,Actor/Criterion,weighted_sum_mean,weighted_sum_sem,n_seeds,rank_within_config,is_consensus_winner,consensus_winner_stability,weight_Demographic_Parity,weight_Equal_Opportunity,weight_Conditional_Outcome_Parity,weight_Total_Profit,weight_Accuracy,weight_Unexploited_Profit,weight_Total_Loss
0,Regulatory,0.878395230720911,0.03221993889062362,3,1,True,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Bank,0.6856182884476482,0.13018170115960334,3,2,False,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Kalai-Smorodinsky,0.48334199741163925,0.20812901362842093,3,3,False,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Nash Bargaining,0.44849130827178024,0.22506207777041856,3,4,False,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Maximin,0.2941346960490166,0.0903751043767596,3,5,False,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Nash Social Welfare,0.27923612193041064,0.1258401532319477,3,6,False,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Proportional Fairness,0.27923612193041064,0.1258401532319477,3,7,False,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Compromise Programming,0.20021745210033645,0.1287004210003586,3,8,False,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Applicant,0.16133788111782946,0.08740612906621346,3,9,False,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Regulatory,0.8748263463778478,0.03064202228688892,3,1,True,0.6666666666666666,0.95,0.0,0.0,0.0,0.05,0.0,0.0
1,Bank,0.6915002812934361,0.12371184409555502,3,2,False,,0.95,0.0,0.0,0.0,0.05,0.0,0.0
1,Kalai-Smorodinsky,0.4739931932804056,0.19818678145794055,3,3,False,,0.95,0.0,0.0,0.0,0.05,0.0,0.0
1,Nash Bargaining,0.4411043368431536,0.21405140923926474,3,4,False,,0.95,0.0,0.0,0.0,0.05,0.0,0.0
1,Maximin,0.2927424975874178,0.08558241495341613,3,5,False,,0.95,0.0,0.0,0.0,0.05,0.0,0.0
1,Nash Social Welfare,0.2793720601947924,0.11886521083028598,3,6,False,,0.95,0.0,0.0,0.0,0.05,0.0,0.0
1,Proportional Fairness,0.2793720601947924,0.11886521083028598,3,7,False,,0.95,0.0,0.0,0.0,0.05,0.0,0.0
1,Compromise Programming,0.22360256947025695,0.1221941068579784,3,8,False,,0.95,0.0,0.0,0.0,0.05,0.0,0.0
1,Applicant,0.16288878154815353,0.08229731091774445,3,9,False,,0.95,0.0,0.0,0.0,0.05,0.0,0.0
2,Regulatory,0.8712574620347847,0.02906420823471011,3,1,True,0.6666666666666666,0.9,0.0,0.0,0.0,0.1,0.0,0.0
2,Bank,0.697382274139224,0.11724203489839995,3,2,False,,0.9,0.0,0.0,0.0,0.1,0.0,0.0
2,Kalai-Smorodinsky,0.46464438914917205,0.18825908927686147,3,3,False,,0.9,0.0,0.0,0.0,0.1,0.0,0.0
2,Nash Bargaining,0.43371736541452705,0.20305490645471025,3,4,False,,0.9,0.0,0.0,0.0,0.1,0.0,0.0
2,Maximin,0.2913502991258192,0.08079006495255021,3,5,False,,0.9,0.0,0.0,0.0,0.1,0.0,0.0
2,Nash Social Welfare,0.2795079984591741,0.11189172536022697,3,6,False,,0.9,0.0,0.0,0.0,0.1,0.0,0.0
2,Proportional Fairness,0.2795079984591741,0.11189172536022697,3,7,False,,0.9,0.0,0.0,0.0,0.1,0.0,0.0
2,Compromise Programming,0.2469876868401775,0.11569150603970792,3,8,False,,0.9,0.0,0.0,0.0,0.1,0.0,0.0
2,Applicant,0.1644396819784776,0.0771884967824802,3,9,False,,0.9,0.0,0.0,0.0,0.1,0.0,0.0
3,Regulatory,0.8676885776917217,0.027486514394457068,3,1,True,0.6666666666666666,0.85,0.0,0.0,0.0,0.15,0.0,0.0
3,Bank,0.7032642669850122,0.1107722819553359,3,2,False,,0.85,0.0,0.0,0.0,0.15,0.0,0.0
3,Kalai-Smorodinsky,0.4552955850179384,0.1783483651902278,3,3,False,,0.85,0.0,0.0,0.0,0.15,0.0,0.0
3,Nash Bargaining,0.4263303939859004,0.19207500244536171,3,4,False,,0.85,0.0,0.0,0.0,0.15,0.0,0.0
3,Maximin,0.2899581006642205,0.07599811858490918,3,5,False,,0.85,0.0,0.0,0.0,0.15,0.0,0.0
3,Nash Social Welfare,0.2796439367235558,0.10491998732615457,3,6,False,,0.85,0.0,0.0,0.0,0.15,0.0,0.0
3,Proportional Fairness,0.2796439367235558,0.10491998732615457,3,7,False,,0.85,0.0,0.0,0.0,0.15,0.0,0.0
3,Compromise Programming,0.270372804210098,0.109193281947287,3,8,False,,0.85,0.0,0.0,0.0,0.15,0.0,0.0
3,Applicant,0.16599058240880168,0.07207968751375605,3,9,False,,0.85,0.0,0.0,0.0,0.15,0.0,0.0
4,Regulatory,0.8641196933486587,0.025908962726603285,3,1,True,0.6666666666666666,0.8,0.0,0.0,0.0,0.2,0.0,0.0
4,Bank,0.7091462598308002,0.10430259573446538,3,2,False,,0.8,0.0,0.0,0.0,0.2,0.0,0.0
4,Kalai-Smorodinsky,0.4459467808867048,0.16845760403341295,3,3,False,,0.8,0.0,0.0,0.0,0.2,0.0,0.0
4,Nash Bargaining,0.41894342255727385,0.18111471609032484,3,4,False,,0.8,0.0,0.0,0.0,0.2,0.0,0.0
4,Compromise Programming,0.29375792158001857,0.10270026537877534,3,5,False,,0.8,0.0,0.0,0.0,0.2,0.0,0.0
4,Maximin,0.2885659022026218,0.07120665733963796,3,6,False,,0.8,0.0,0.0,0.0,0.2,0.0,0.0
4,Nash Social Welfare,0.27977987498793755,0.09795036985649551,3,7,False,,0.8,0.0,0.0,0.0,0.2,0.0,0.0
4,Proportional Fairness,0.27977987498793755,0.09795036985649551,3,8,False,,0.8,0.0,0.0,0.0,0.2,0.0,0.0
4,Applicant,0.16754148283912573,0.06697088422529007,3,9,False,,0.8,0.0,0.0,0.0,0.2,0.0,0.0
5,Regulatory,0.8605508090055954,0.024331580884645702,3,1,True,0.6666666666666666,0.75,0.0,0.0,0.0,0.25,0.0,0.0
5,Bank,0.7150282526765883,0.09783298947278606,3,2,False,,0.75,0.0,0.0,0.0,0.25,0.0,0.0
5,Kalai-Smorodinsky,0.43659797675547124,0.15859054091372285,3,3,False,,0.75,0.0,0.0,0.0,0.25,0.0,0.0
5,Nash Bargaining,0.4115564511286472,0.1701778378509108,3,4,False,,0.75,0.0,0.0,0.0,0.25,0.0,0.0
5,Compromise Programming,0.31714303894993906,0.09621351063696441,3,5,False,,0.75,0.0,0.0,0.0,0.25,0.0,0.0
5,Maximin,0.2871737037410231,0.06641578621196448,3,6,False,,0.75,0.0,0.0,0.0,0.25,0.0,0.0
5,Nash Social Welfare,0.27991581325231923,0.09098336027867927,3,7,False,,0.75,0.0,0.0,0.0,0.25,0.0,0.0
5,Proportional Fairness,0.27991581325231923,0.09098336027867927,3,8,False,,0.75,0.0,0.0,0.0,0.25,0.0,0.0
5,Applicant,0.16909238326944975,0.06186208839869865,3,9,False,,0.75,0.0,0.0,0.0,0.25,0.0,0.0
6,Regulatory,0.8569819246625324,0.022754404186647138,3,1,True,0.6666666666666666,0.7,0.0,0.0,0.0,0.3,0.0,0.0
6,Bank,0.7209102455223763,0.09136348015644598,3,2,False,,0.7,0.0,0.0,0.0,0.3,0.0,0.0
6,Kalai-Smorodinsky,0.4272491726242376,0.1487518917456648,3,3,False,,0.7,0.0,0.0,0.0,0.3,0.0,0.0
6,Nash Bargaining,0.4041694797000206,0.1592691900456001,3,4,False,,0.7,0.0,0.0,0.0,0.3,0.0,0.0
6,Compromise Programming,0.3405281563198596,0.08973437570449172,3,5,False,,0.7,0.0,0.0,0.0,0.3,0.0,0.0
6,Maximin,0.28578150527942436,0.061625642831959114,3,6,False,,0.7,0.0,0.0,0.0,0.3,0.0,0.0
6,Nash Social Welfare,0.280051751516701,0.08401960734404497,3,7,False,,0.7,0.0,0.0,0.0,0.3,0.0,0.0
6,Proportional Fairness,0.280051751516701,0.08401960734404497,3,8,False,,0.7,0.0,0.0,0.0,0.3,0.0,0.0
6,Applicant,0.17064328369977386,0.056753302049081904,3,9,False,,0.7,0.0,0.0,0.0,0.3,0.0,0.0
7,Regulatory,0.8534130403194693,0.0211774784664811,3,1,True,0.6666666666666666,0.65,0.0,0.0,0.0,0.35,0.0,0.0
7,Bank,0.7267922383681643,0.08489408994913845,3,2,False,,0.65,0.0,0.0,0.0,0.35,0.0,0.0
7,Kalai-Smorodinsky,0.41790036849300405,0.13894769249073013,3,3,False,,0.65,0.0,0.0,0.0,0.35,0.0,0.0
7,Nash Bargaining,0.396782508271394,0.1483949985376553,3,4,False,,0.65,0.0,0.0,0.0,0.35,0.0,0.0
7,Compromise Programming,0.3639132736897801,0.08326463937847627,3,5,False,,0.65,0.0,0.0,0.0,0.35,0.0,0.0
7,Maximin,0.28438930681782565,0.05683641120251235,3,6,False,,0.65,0.0,0.0,0.0,0.35,0.0,0.0
7,Nash Social Welfare,0.28018768978108266,0.07705999394606058,3,7,False,,0.65,0.0,0.0,0.0,0.35,0.0,0.0
7,Proportional Fairness,0.28018768978108266,0.07705999394606058,3,8,False,,0.65,0.0,0.0,0.0,0.35,0.0,0.0
7,Applicant,0.17219418413009788,0.05164452798888724,3,9,False,,0.65,0.0,0.0,0.0,0.35,0.0,0.0
8,Regulatory,0.8498441559764062,0.019600864299130997,3,1,True,0.6666666666666666,0.6,0.0,0.0,0.0,0.4,0.0,0.0
8,Bank,0.7326742312139523,0.07842484832734839,3,2,False,,0.6,0.0,0.0,0.0,0.4,0.0,0.0
8,Kalai-Smorodinsky,0.4085515643617705,0.12918578683067572,3,3,False,,0.6,0.0,0.0,0.0,0.4,0.0,0.0
8,Nash Bargaining,0.38939553684276734,0.13756343473190338,3,4,False,,0.6,0.0,0.0,0.0,0.4,0.0,0.0
8,Compromise Programming,0.3872983910597006,0.0768066767432868,3,5,False,,0.6,0.0,0.0,0.0,0.4,0.0,0.0
8,Maximin,0.282997108356227,0.05204834300859168,3,6,False,,0.6,0.0,0.0,0.0,0.4,0.0,0.0
8,Nash Social Welfare,0.2803236280454644,0.07010575292911526,3,7,False,,0.6,0.0,0.0,0.0,0.4,0.0,0.0
8,Proportional Fairness,0.2803236280454644,0.07010575292911526,3,8,False,,0.6,0.0,0.0,0.0,0.4,0.0,0.0
8,Applicant,0.17374508456042195,0.04653577026557431,3,9,False,,0.6,0.0,0.0,0.0,0.4,0.0,0.0
9,Regulatory,0.8462752716333432,0.018024643439284532,3,1,True,0.6666666666666666,0.55,0.0,0.0,0.0,0.45,0.0,0.0
9,Bank,0.7385562240597404,0.07195579536717575,3,2,False,,0.55,0.0,0.0,0.0,0.45,0.0,0.0
9,Compromise Programming,0.41068350842962115,0.07036372963135927,3,3,False,,0.55,0.0,0.0,0.0,0.45,0.0,0.0
9,Kalai-Smorodinsky,0.39920276023053686,0.11947654208923526,3,4,False,,0.55,0.0,0.0,0.0,0.45,0.0,0.0
9,Nash Bargaining,0.3820085654141408,0.1267854244403718,3,5,False,,0.55,0.0,0.0,0.0,0.45,0.0,0.0
