config_id,Actor/Criterion,weighted_sum_mean,weighted_sum_sem,n_seeds,rank_within_config,is_consensus_winner,consensus_winner_stability,weight_Demographic_Parity,weight_Equal_Opportunity,weight_Conditional_Outcome_Parity,weight_Total_Profit,weight_Accuracy,weight_Unexploited_Profit,weight_Total_Loss
0,Applicant,0.7954934341868102,0.04637316219674496,3,1,True,0.6666666666666666,0.148604,0.22284,0.004329,0.000496,0.120281,0.356234,0.147216
0,Compromise Programming,0.7652201939592701,0.045970415547702904,3,2,False,,0.148604,0.22284,0.004329,0.000496,0.120281,0.356234,0.147216
0,Regulatory,0.7386717029642895,0.010425745730274735,3,3,False,,0.148604,0.22284,0.004329,0.000496,0.120281,0.356234,0.147216
0,Maximin,0.6339201135603414,0.06398896223086338,3,4,False,,0.148604,0.22284,0.004329,0.000496,0.120281,0.356234,0.147216
0,Nash Social Welfare,0.6089777446026872,0.06126261245386953,3,5,False,,0.148604,0.22284,0.004329,0.000496,0.120281,0.356234,0.147216
0,Proportional Fairness,0.6089777446026872,0.06126261245386953,3,6,False,,0.148604,0.22284,0.004329,0.000496,0.120281,0.356234,0.147216
0,Bank,0.5054412362752004,0.027744884710232193,3,7,False,,0.148604,0.22284,0.004329,0.000496,0.120281,0.356234,0.147216
0,Kalai-Smorodinsky,0.18000084813515094,0.0024365807724882373,3,8,False,,0.148604,0.22284,0.004329,0.000496,0.120281,0.356234,0.147216
0,Nash Bargaining,0.17943262243879723,0.0041550139698246285,3,9,False,,0.148604,0.22284,0.004329,0.000496,0.120281,0.356234,0.147216
1,Regulatory,0.7546498640906356,0.08836512810198498,3,1,True,0.6666666666666666,0.049498,0.184597,0.396992,0.215374,8.4e-05,0.148704,0.004751
1,Compromise Programming,0.5968374678039214,0.08849614501168693,3,2,False,,0.049498,0.184597,0.396992,0.215374,8.4e-05,0.148704,0.004751
1,Bank,0.5599581175955868,0.06594208648484949,3,3,False,,0.049498,0.184597,0.396992,0.215374,8.4e-05,0.148704,0.004751
1,Nash Social Welfare,0.4900499883856983,0.03918413463531861,3,4,False,,0.049498,0.184597,0.396992,0.215374,8.4e-05,0.148704,0.004751
1,Proportional Fairness,0.4900499883856983,0.03918413463531861,3,5,False,,0.049498,0.184597,0.396992,0.215374,8.4e-05,0.148704,0.004751
1,Maximin,0.4495940530356584,0.03390234942186975,3,6,False,,0.049498,0.184597,0.396992,0.215374,8.4e-05,0.148704,0.004751
1,Applicant,0.3435375741729674,0.040009829309458275,3,7,False,,0.049498,0.184597,0.396992,0.215374,8.4e-05,0.148704,0.004751
1,Nash Bargaining,0.2741149288602961,0.06523929514769478,3,8,False,,0.049498,0.184597,0.396992,0.215374,8.4e-05,0.148704,0.004751
