Actor/Criterion,Total_cognitive_score,Avg_outcome_difference,Percentage_treated,Mean_outcome_treated,Mean_outcome_control,Cost_effectiveness,Accuracy,Mean_Regret,Demographic_Parity,Percent_A,Percent_C,Demographic_Parity Normalized,Demographic_Parity Rank,Total_cognitive_score Normalized,Total_cognitive_score Rank,Avg_outcome_difference Normalized,Avg_outcome_difference Rank,Percentage_treated Normalized,Percentage_treated Rank,Mean_outcome_treated Normalized,Mean_outcome_treated Rank,Mean_outcome_control Normalized,Mean_outcome_control Rank,Accuracy Normalized,Accuracy Rank,Mean_Regret Normalized,Mean_Regret Rank,Cost_effectiveness Normalized,Cost_effectiveness Rank,Weighted Normalized-Sum
Outcome_Maxim,3807.4,0.0,1.0,6.3775544388609715,0.0,0.043811650840392576,0.9932998324958124,0.006197654941373539,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0,0.9932998324958124,1.0,1.0,1.0,1.0,1.0,0.9973199329983251
Policy_Maker,3796.000000143051,1.6696458327026429,0.9932998324958124,6.36964586846543,4.700000035762787,0.043723777835997665,0.9865996649916248,0.02529313208869155,0.0072202166064981865,0.9932998324958124,0.006700167504187605,0.9474488237091354,4.0,0.9935911851464283,2.0,0.5403880549096853,3.0,0.9914163090128756,2.0,0.95222068173739,2.0,0.9752593826880168,2.0,0.9865996649916248,2.0,0.9935911851464285,2.0,0.9522206817373902,2.0,0.9732920041152407
Compromise Programming,3743.7000002861023,1.517721934301198,0.9564489112227805,6.336952714535902,4.819230780234704,0.04336052057011402,0.9564489112227805,0.1128978219663278,-0.0031903282679875966,0.9564489112227805,0.04355108877721943,0.9767797128017108,3.0,0.9641893412752914,3.0,0.5822089231934485,2.0,0.944206008583691,3.0,0.7547062728768531,3.0,1.0,1.0,0.9564489112227805,3.0,0.9641893412752914,3.0,0.7547062728768511,3.0,0.921714629879883
Nash Social Welfare,3183.4000004053114,3.5577223020897146,0.7219430485762144,6.321577726218098,2.763855424128383,0.043189687366582866,0.7252931323283082,1.0514237849157262,-0.07627403240701869,0.7219430485762144,0.2780569514237856,0.4448518179040635,5.0,0.6492017091041157,6.0,0.020647591646543322,7.0,0.6437768240343348,6.0,0.6618188831996534,4.0,0.573505513673238,5.0,0.7252931323283082,6.0,0.6492017091041157,6.0,0.6618188831996534,4.0,0.6412917349728898
Proportional Fairness,3183.4000004053114,3.5577223020897146,0.7219430485762144,6.321577726218098,2.763855424128383,0.043189687366582866,0.7252931323283082,1.0514237849157262,-0.07627403240701869,0.7219430485762144,0.2780569514237856,0.4448518179040635,5.0,0.6492017091041157,6.0,0.020647591646543322,7.0,0.6437768240343348,6.0,0.6618188831996534,4.0,0.573505513673238,5.0,0.7252931323283082,6.0,0.6492017091041157,6.0,0.6618188831996534,4.0,0.6412917349728898
Maximin,2912.1999997615817,3.502161750162308,0.6063651591289783,6.256629834254144,2.7544680840918363,0.042468044122538934,0.609715242881072,1.5056951427779208,-0.0018470321551506963,0.6063651591289783,0.3936348408710218,0.9865566758325696,2.0,0.49673937452306144,8.0,0.03594202885081642,6.0,0.4957081545064378,8.0,0.2694387379359035,6.0,0.5715576218903735,7.0,0.609715242881072,8.0,0.4967393745230611,8.0,0.2694387379359013,6.0,0.5944330548107354
Parent,3513.799999856949,2.1923737077030427,0.8509212730318257,6.21259842519685,4.020224717493807,0.041978806244124554,0.8542713567839196,0.49798994998836044,0.1355889513894719,0.8509212730318257,0.1490787269681742,0.013137794072715536,9.0,0.834944906531871,4.0,0.39649408010607884,4.0,0.8090128755364806,4.0,0.003424704845228627,9.0,0.834204648173752,3.0,0.8542713567839196,4.0,0.834944906531871,4.0,0.0034247048452268635,9.0,0.5120100238035306
Nash Bargaining,3510.799999856949,2.1975871153304167,0.8492462311557789,6.212031558185404,4.0144444428549875,0.04197250772177516,0.8525963149078727,0.5030150756165012,0.13739400554109638,0.8492462311557789,0.1507537688442211,0.0,10.0,0.8332583762860839,5.0,0.3950589587328907,5.0,0.8068669527896996,5.0,0.0,10.0,0.8330052296560652,4.0,0.8525963149078727,5.0,0.8332583762860838,5.0,0.0,10.0,0.5076902012203659
Healthcare_Provider,2032.700000667572,3.632370477547744,0.22110552763819097,6.234090909090909,2.6017204315431655,0.042217611620725216,0.22780569514237856,2.978894471243598,0.11258500545714048,0.22110552763819097,0.7788944723618091,0.18056828597616792,7.0,0.0023049246424359546,9.0,9.880671999881143e-05,9.0,0.002145922746781137,9.0,0.13327070442147826,7.0,0.5398621792950239,8.0,0.22780569514237856,9.0,0.002304924642435839,9.0,0.13327070442147793,7.0,0.15435106106496777
Kalai-Smorodinsky,2028.6000007152556,3.632729415625945,0.21943048576214405,6.233587786259541,2.600858370633596,0.04221202136704334,0.22613065326633167,2.985762142855518,0.11439005960876503,0.21943048576214405,0.7805695142378559,0.16743049190345183,8.0,0.0,10.0,0.0,10.0,0.0,10.0,0.1302311075433012,8.0,0.5396832999367028,9.0,0.22613065326633167,10.0,0.0,10.0,0.13023110754329892,8.0,0.14998458119588282
