Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Demographic_Parity Rank,Equal_Opportunity Normalized,Equal_Opportunity Rank,Conditional_Outcome_Parity Normalized,Conditional_Outcome_Parity Rank,Total_Profit Normalized,Total_Profit Rank,Accuracy Normalized,Accuracy Rank,Unexploited_Profit Normalized,Unexploited_Profit Rank,Total_Loss Normalized,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.7827151327953432,0.0073965695425111016,0.0,1.0,1.0,1.0,1.0,-0.06600807196180325,0.0,0.0,0.8206214689265536,0.010828625235404897,0.16854990583804144,2124.0,2002.1999999999998,2104.4,0.5921271393643033,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9184254278728606
Compromise Programming,0.4335166454634516,0.09540008089401668,0.23890178297000614,0.3476901836015909,0.3585747735497085,0.3262837831476912,0.564030131826742,0.0437706085626105,0.04712172100652412,-0.06390527280938241,0.6087570621468926,0.1111111111111111,0.2801318267419962,1435.8,1462.9,1590.0,0.7295354523227382,1.0,0.7496095328593114,2.0,0.27369199557028845,8.0,0.5245911081033937,5.0,0.564030131826742,5.0,0.23908813129329856,4.0,0.2583829222081792,8.0,0.5311757639299809
Bank,0.5277609721291983,0.11363907164794405,0.24066273515469142,0.3418902465538984,0.34987729582869925,0.3386239283865189,0.646421845574388,-0.08777335197446523,-0.09776446744747236,-0.07740571005825259,0.7099811676082862,0.002824858757062147,0.2871939736346516,1459.5,1505.1,1614.8,0.4576365118174405,6.0,0.48050940943892895,6.0,0.12025433376101391,10.0,0.6528980525293024,3.0,0.646421845574388,3.0,0.2334794271601852,5.0,0.10468056627862521,10.0,0.5047265178513065
Outcome_Pred_Model,0.489344733236453,0.10181784580368368,0.24066273515469142,0.3437474469544575,0.33706413843722854,0.33182083990228706,0.6148775894538606,-0.07310137434382336,-0.08194554640641638,-0.07658745099776298,0.667608286252354,0.04519774011299435,0.2871939736346516,1446.1,1484.0,1601.8,0.5482966585167075,3.0,0.5645663357252858,3.0,0.1295541626985015,9.0,0.6005970769369394,4.0,0.6148775894538606,4.0,0.2334794271601852,5.0,0.20429957956459385,9.0,0.5016406154119739
Regulatory,0.5622631026096143,0.1260609234076321,0.18641140731129285,0.3309068069727454,0.3260608275079568,0.3261243086753652,0.6497175141242938,0.16005697855390533,0.1379428002943437,-0.08798646362098139,0.7419962335216572,0.025894538606403013,0.23210922787193974,1497.0,1568.5,1641.9,0.010986145069275088,10.0,0.2670139912841184,8.0,0.0,11.0,0.6998702480422143,2.0,0.6497175141242938,2.0,0.4062721067959124,2.0,0.0,11.0,0.4020582842720154
Maximin,0.05944023163911552,0.012987390422245693,0.2959441333746637,0.35340594750902343,0.3029196954838798,0.2044914018395647,0.24246704331450095,0.1022976074283152,0.12007662803747537,-0.030729166666666696,0.2015065913370998,0.4590395480225989,0.3394538606403013,1258.6,1186.9,1437.5,0.36788916055419707,7.0,0.36194938672084065,7.0,0.6507512019230766,3.0,0.01531268957502613,10.0,0.24246704331450095,10.0,0.057405931595024245,9.0,0.9528854226426803,3.0,0.3037774277362603
Nash Social Welfare,0.0712166969671661,0.014972209906193742,0.2412752035095152,0.3548045842305176,0.33339729715907246,0.2109020210450674,0.2537664783427495,0.0841620723311087,0.09567816224260337,-0.04960474308300389,0.2245762711864407,0.487758945386064,0.2876647834274953,1295.1,1236.2,1450.8,0.47995110024449883,4.0,0.4915953995871425,4.0,0.43622301611432124,6.0,0.03134550911798758,6.0,0.2537664783427495,6.0,0.2315286906081219,7.0,0.9361590897609113,6.0,0.2910105164324614
Proportional Fairness,0.0712166969671661,0.014972209906193742,0.2412752035095152,0.3548045842305176,0.33339729715907246,0.2109020210450674,0.2537664783427495,0.0841620723311087,0.09567816224260337,-0.04960474308300389,0.2245762711864407,0.487758945386064,0.2876647834274953,1295.1,1236.2,1450.8,0.47995110024449883,4.0,0.4915953995871425,4.0,0.43622301611432124,6.0,0.03134550911798758,6.0,0.2537664783427495,6.0,0.2315286906081219,7.0,0.9361590897609113,6.0,0.2910105164324614
Nash Bargaining,0.06406492121773506,0.013719294844100694,0.3139677442225473,0.34953376324040214,0.2946876858208363,0.20686337799257104,0.2537664783427495,0.1337545173969242,0.15373500018499256,-0.03325917686318136,0.21421845574387946,0.4213747645951036,0.3644067796610169,1236.6999999999998,1172.4,1431.5,0.1735126324368378,8.0,0.1830990530489205,9.0,0.6219966629588427,5.0,0.021608875348155348,8.0,0.2537664783427495,6.0,0.0,11.0,0.94671756853978,5.0,0.264930225485867
Kalai-Smorodinsky,0.061821624635409876,0.013440461760555331,0.31380519494063414,0.3496397313099586,0.29334899773516027,0.20533677604914216,0.2504708097928437,0.14134638212561662,0.16233921061610754,-0.03149319619533064,0.21045197740112995,0.4265536723163842,0.3629943502824859,1237.6999999999998,1172.1,1431.5,0.12660146699266495,9.0,0.13737890057559754,10.0,0.6420677124722998,4.0,0.018554786682000748,9.0,0.2504708097928437,9.0,0.0005177260559541835,10.0,0.9490673313325922,4.0,0.2576331171465306
