Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Demographic_Parity Rank,Equal_Opportunity Normalized,Equal_Opportunity Rank,Conditional_Outcome_Parity Normalized,Conditional_Outcome_Parity Rank,Total_Profit Normalized,Total_Profit Rank,Accuracy Normalized,Accuracy Rank,Unexploited_Profit Normalized,Unexploited_Profit Rank,Total_Loss Normalized,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.8063006935264503,0.009261888678398722,0.0,1.0,1.0,1.0,1.0,0.005328441649196325,0.0,0.0,0.8383458646616542,0.013157894736842105,0.14849624060150377,532.0,505.3,528.8,0.9767086674303171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9953417334860635
Regulatory,0.6041875447752105,0.12251670073283813,0.1742466181482879,0.33894576703260554,0.3419708236362604,0.3365094339622641,0.6766917293233082,0.06263102725366876,0.05290202754991491,-0.005363984674329525,0.7556390977443609,0.016917293233082706,0.2274436090225564,386.6,399.2,418.7,0.7262313860252004,5.0,0.7612127986586557,5.0,0.8418312211415652,2.0,0.7356613262812826,2.0,0.6766917293233082,2.0,0.4523653436148165,2.0,0.0,11.0,0.731421478418933
Bank,0.5372191471001889,0.10631449723316218,0.25224324815037646,0.34694005948295586,0.3622731830996575,0.342961715224489,0.6578947368421053,-0.2129629629629629,-0.21392973223959133,0.009867707655606073,0.706766917293233,0.0018796992481203006,0.29135338345864664,370.6,377.6,407.6,0.06911034746086309,10.0,0.03437194355176765,10.0,0.7090291332321285,6.0,0.6480750532858981,3.0,0.6578947368421053,3.0,0.20723199110380391,6.0,0.1430597358802544,10.0,0.54840080153262
Compromise Programming,0.46981261979816497,0.09137108031307642,0.2505056940776631,0.3477943615257048,0.33264271253145633,0.3264988901251894,0.5921052631578947,-0.10464709993011878,-0.0905432595573441,0.029906656841070967,0.6296992481203008,0.08834586466165413,0.2819548872180451,366.0,369.9,402.5,0.5425735013363879,8.0,0.591309207768618,7.0,0.11813704186585561,10.0,0.5599157616361893,5.0,0.5921052631578947,5.0,0.21269289954307863,4.0,0.2750048307421199,8.0,0.48096736623084446
Nash Social Welfare,0.06430530491482518,0.014187444538611097,0.25224324815037646,0.3638457358021816,0.3793562495100782,0.20067986265169366,0.22932330827067668,-0.015111809923130687,-0.016003714595263896,0.005847953216374324,0.18796992481203006,0.5206766917293233,0.29135338345864664,326.2,304.8,363.9,0.9339442535318824,3.0,0.9277630292021797,3.0,0.8275603538761416,4.0,0.029563003976513045,8.0,0.22932330827067668,8.0,0.20723199110380391,6.0,0.956509080975343,4.0,0.4499428455851781
Proportional Fairness,0.06430530491482518,0.014187444538611097,0.25224324815037646,0.3638457358021816,0.3793562495100782,0.20067986265169366,0.22932330827067668,-0.015111809923130687,-0.016003714595263896,0.005847953216374324,0.18796992481203006,0.5206766917293233,0.29135338345864664,326.2,304.8,363.9,0.9339442535318824,3.0,0.9277630292021797,3.0,0.8275603538761416,4.0,0.029563003976513045,8.0,0.22932330827067668,8.0,0.20723199110380391,6.0,0.956509080975343,4.0,0.4499428455851781
Outcome_Pred_Model,0.5170759649246082,0.10531743855625904,0.25224324815037646,0.34611214787167865,0.3533045732341867,0.3372564349078564,0.6353383458646616,-0.22877358490566035,-0.221544652530568,0.02247393024092048,0.6823308270676691,0.02631578947368421,0.29135338345864664,368.20000000000005,373.2,404.79999999999995,0.0,11.0,0.0,11.0,0.33730718520362646,9.0,0.6217302949479779,4.0,0.6353383458646616,4.0,0.20723199110380391,6.0,0.15186341193442393,9.0,0.44594283437618554
Maximin,0.04943409127076707,0.0121014644299317,0.3181804075338323,0.35784738792789433,0.3411409974672732,0.19093743170452648,0.2161654135338346,-0.014762403913347294,-0.015446525305680248,0.005640612409347323,0.16917293233082706,0.4943609022556391,0.33646616541353386,316.29999999999995,292.8,359.3,0.9354715540282551,2.0,0.930278049462065,2.0,0.8336742494679634,3.0,0.010113319898332047,10.0,0.2161654135338346,10.0,0.0,11.0,0.9749275487723378,2.0,0.442317990092444
Kalai-Smorodinsky,0.14402015866262588,0.02849684804825764,0.25185356575617346,0.35152029239139493,0.3476971648056395,0.2215317415521998,0.27631578947368424,-0.09765897973445142,-0.1058659650208946,-0.019963702359346636,0.25375939849624063,0.45864661654135336,0.287593984962406,330.9,312.2,367.7,0.5731195112638412,7.0,0.5221461506217688,8.0,0.41132672530131686,7.0,0.13382004437970904,7.0,0.27631578947368424,7.0,0.20845671262963067,5.0,0.830162100656588,7.0,0.33417957197844717
Nash Bargaining,0.1482080757780791,0.027976508051248815,0.25224324815037646,0.3564047642800276,0.3549061107101636,0.22773746529175865,0.2857142857142857,-0.11635220125786164,-0.1171335706546974,0.022222222222222143,0.2593984962406015,0.4492481203007519,0.29135338345864664,331.90000000000003,313.0,368.6,0.4914089347079037,9.0,0.4712868520329747,9.0,0.3447293447293467,8.0,0.13929731521924926,6.0,0.2857142857142857,6.0,0.20723199110380391,6.0,0.8347565190973577,6.0,0.3093728332170142
Applicant,0.04170145457321174,0.013009668976519268,0.24780072568759173,0.34712142227464055,0.3465186494646675,0.16532865914990058,0.17293233082706766,0.09503843466107617,0.08766444822782851,-0.03391304347826085,0.13721804511278196,0.5902255639097744,0.2725563909774436,323.2,300.30000000000007,359.70000000000005,0.5845742649866361,6.0,0.6043034791113595,6.0,0.0,11.0,0.0,11.0,0.17293233082706766,11.0,0.22119426645953072,3.0,0.9669084233143307,3.0,0.1860877853281543
