Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Demographic_Parity Rank,Equal_Opportunity Normalized,Equal_Opportunity Rank,Conditional_Outcome_Parity Normalized,Conditional_Outcome_Parity Rank,Total_Profit Normalized,Total_Profit Rank,Accuracy Normalized,Accuracy Rank,Unexploited_Profit Normalized,Unexploited_Profit Rank,Total_Loss Normalized,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.779694422409314,0.006742789844966231,0.0,1.0,1.0,1.0,1.0,-0.0728940217391304,0.0,0.0,0.82015065913371,0.009887005649717515,0.1699623352165725,2124.0,2001.2,2103.3999999999996,0.6121614858477453,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9224322971695491
Bank,0.6815620714098548,0.15242563600082965,0.08581392968693233,0.3810910735184594,0.36366802255502795,0.3645854978142826,0.786723163841808,-0.06535326086956517,-0.04140373299251798,-0.051737602499023816,0.9077212806026366,0.00047080979284369113,0.09180790960451977,1700.3999999999999,1786.1,1754.6,0.6522827114497027,2.0,0.8010236724248243,2.0,0.39412415020273395,3.0,0.865230351528966,3.0,0.786723163841808,3.0,0.7089372812592916,4.0,0.07434596275125482,10.0,0.6970167081730039
Outcome_Pred_Model,0.6108965381939587,0.12255129846444332,0.15029600948643929,0.39186831755988744,0.3903182786260473,0.39099149248204595,0.762241054613936,-0.07802048494983282,-0.05727294512341241,-0.05224017371556067,0.8328625235404896,0.006591337099811676,0.1605461393596987,1669.6,1720.1999999999998,1746.4,0.584885725407329,4.0,0.7247600767754319,4.0,0.3882387641740973,4.0,0.7681821408876355,4.0,0.762241054613936,4.0,0.4902276903458965,5.0,0.26416447522802217,9.0,0.6531577479393867
Regulatory,0.7133977003108235,0.16412647780344589,0.053176226656989706,0.3730731357574273,0.35313736028996295,0.3502317674511916,0.7914312617702448,0.06082253344481603,0.04979098437042362,-0.08349187733154728,0.928436911487759,0.0014124293785310734,0.07015065913370998,1711.8000000000002,1814.9,1769.1999999999998,0.6763888116554525,1.0,0.7607165706973769,3.0,0.022264084804185624,10.0,0.9089516775966711,2.0,0.7914312617702448,2.0,0.8196374742466493,2.0,0.0,11.0,0.6380934195193598
Compromise Programming,0.48533152627404363,0.10079195753875447,0.2172685401349917,0.3794544474583614,0.3801161513569005,0.3724982746721877,0.6751412429378532,0.15260242474916386,0.1500119817876827,-0.08539307601769552,0.7217514124293786,0.0692090395480226,0.20903954802259886,1594.1,1631.9,1707.6999999999998,0.18806650725685392,5.0,0.27907869481765835,5.0,0.0,11.0,0.595737963770128,5.0,0.6751412429378532,5.0,0.2630710163347133,8.0,0.40242112182172324,8.0,0.4268173913805377
Applicant,0.0515456729484832,0.012635367153248128,0.06982669493627282,0.3975923305774609,0.33033020139730357,0.17373369538900454,0.18973634651600754,0.175245610367893,0.19940357323534894,-0.035192563081009265,0.18879472693032015,0.745291902071563,0.06591337099811675,1465.9,1396.6,1508.5,0.06759161430239669,6.0,0.04171465131158025,7.0,0.5878756835774775,2.0,0.0,11.0,0.18973634651600754,11.0,0.7631626037523773,3.0,0.9625591610876698,3.0,0.20698799818237787
Nash Bargaining,0.07172550032478597,0.013106121485634998,0.22178023860673177,0.38672480549410704,0.31993488060796943,0.24603051029881584,0.2829566854990584,0.18411371237458193,0.20518145751790612,-0.059534215784215694,0.2514124293785311,0.5338983050847458,0.21468926553672316,1427.6999999999998,1348.5,1531.3,0.020408163265306256,8.0,0.013947536788227688,8.0,0.30282151012010905,5.0,0.027713880427928005,8.0,0.2829566854990584,9.0,0.24776828834971418,9.0,0.9595680357779676,5.0,0.18337138496229202
Nash Social Welfare,0.08414871327107043,0.014656538651955582,0.20879717793746413,0.3846084785460915,0.3180393932037377,0.2500845628176183,0.2999058380414313,0.18616220735785954,0.2063530100913279,-0.06551125604881125,0.275894538606403,0.5211864406779662,0.2029190207156309,1434.6999999999998,1368.0,1537.2999999999997,0.009508980703998193,9.0,0.008317338451695244,9.0,0.2328270732953135,7.0,0.04477524729216203,6.0,0.2999058380414313,6.0,0.29180408708027905,6.0,0.9497168422620957,6.0,0.17738459547486726
Proportional Fairness,0.08414871327107043,0.014656538651955582,0.20879717793746413,0.3846084785460915,0.3180393932037377,0.2500845628176183,0.2999058380414313,0.18616220735785954,0.2063530100913279,-0.06551125604881125,0.275894538606403,0.5211864406779662,0.2029190207156309,1434.6999999999998,1368.0,1537.2999999999997,0.009508980703998193,9.0,0.008317338451695244,9.0,0.2328270732953135,7.0,0.04477524729216203,6.0,0.2999058380414313,6.0,0.29180408708027905,6.0,0.9497168422620957,6.0,0.17738459547486726
Kalai-Smorodinsky,0.06995778475875984,0.012584812587066929,0.22178023860673177,0.3870607119857528,0.31821272216939306,0.24400343985961434,0.2787193973634652,0.18794941471571908,0.20808371275660995,-0.06308358372912026,0.24623352165725046,0.5390772128060264,0.21468926553672316,1425.9,1345.8000000000002,1529.6,0.0,11.0,0.0,11.0,0.2612564546094134,6.0,0.025286195744908136,9.0,0.2787193973634652,10.0,0.24776828834971418,9.0,0.9628803796766924,2.0,0.16879628901625038
Maximin,0.06574632357144801,0.012737647959147183,0.2948296850184347,0.3822353806137329,0.33079693008580424,0.24596582118911614,0.2834274952919021,0.18257734113712373,0.1975131134009639,-0.07360068933328545,0.2330508474576271,0.4797551789077213,0.2871939736346516,1384.0,1289.0,1519.1,0.028582550186287192,7.0,0.050799744081893694,6.0,0.1380953495804086,9.0,0.019502403366729537,10.0,0.2834274952919021,8.0,0.0,11.0,0.9619092792147398,4.0,0.1506070587434459
