Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Demographic_Parity Rank,Equal_Opportunity Normalized,Equal_Opportunity Rank,Conditional_Outcome_Parity Normalized,Conditional_Outcome_Parity Rank,Total_Profit Normalized,Total_Profit Rank,Accuracy Normalized,Accuracy Rank,Unexploited_Profit Normalized,Unexploited_Profit Rank,Total_Loss Normalized,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.8084365923635971,0.009715492375392551,0.0,1.0,1.0,1.0,1.0,-0.02778974579922444,0.0,0.0,0.8402255639097744,0.013157894736842105,0.14661654135338345,532.0,505.4,528.4,0.8609014448997198,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.972180288979944
Regulatory,0.741215766174493,0.13832583506433416,0.05119617728994252,0.37291837291837293,0.3559341478804566,0.3552109295670636,0.8082706766917294,0.030374838431710516,0.03389355742296918,-0.025274725274725185,0.9304511278195489,0.0,0.06954887218045112,438.29999999999995,459.09999999999997,449.29999999999995,0.8479620444252747,3.0,0.855263157894737,3.0,0.488458909511543,2.0,0.9091384951972133,2.0,0.8082706766917294,2.0,0.8328319881846831,3.0,0.0,11.0,0.7724201605034979
Bank,0.7236283064251905,0.1338334367011554,0.06878363703924503,0.3704453441295546,0.3551884357253485,0.3543185899080215,0.806390977443609,-0.024558380008616987,-0.03286647992530345,-0.035329949238578684,0.9285714285714286,0.0,0.07142857142857142,436.5,457.29999999999995,447.8,0.8770756954927754,1.0,0.8596491228070176,2.0,0.28494887426225946,7.0,0.885365757653278,3.0,0.806390977443609,3.0,0.7754046403863859,4.0,0.03493030396508708,10.0,0.7320344564591061
Outcome_Pred_Model,0.6466413657546299,0.11622152872805075,0.1413420561178764,0.36219616757392675,0.3642230252968508,0.36308465356798747,0.7669172932330827,-0.05385609651012491,-0.0657329598506069,-0.03919082125603868,0.8609022556390977,0.0018796992481203006,0.13721804511278196,420.1,436.0,439.0,0.7304291567824026,4.0,0.7192982456140351,4.0,0.20680778032036573,10.0,0.7813035246213395,4.0,0.7669172932330827,4.0,0.5384836962865187,5.0,0.1718703634103917,9.0,0.6504750096380547
Compromise Programming,0.52670811758763,0.09615176365193594,0.22292331188818934,0.3486539830453634,0.3421958354844261,0.3436679843618979,0.693609022556391,0.1677725118483413,0.16041083099906628,-0.03903108757477691,0.7669172932330827,0.043233082706766915,0.18984962406015038,399.9,414.1,427.80000000000007,0.1602329092085396,7.0,0.3149920255183414,5.0,0.210040667744946,9.0,0.6191913337701948,5.0,0.693609022556391,5.0,0.27210098862292903,10.0,0.32792130501044453,8.0,0.47533659116729254
Nash Social Welfare,0.09824823949067608,0.024798399931744423,0.20486796586367426,0.36951927635778725,0.477620440707689,0.24484408962302817,0.3082706766917293,0.16660922016372248,0.20056022408963586,0.029980657640232056,0.2951127819548872,0.5206766917293233,0.18421052631578946,364.1,346.9,388.70000000000005,0.16605563942204027,5.0,0.1435406698564593,6.0,0.3932144410613323,4.0,0.04004776356191809,6.0,0.3082706766917293,6.0,0.3310560992840665,6.0,0.8827239921688758,6.0,0.24317183948574986
Proportional Fairness,0.09824823949067608,0.024798399931744423,0.20486796586367426,0.36951927635778725,0.477620440707689,0.24484408962302817,0.3082706766917293,0.16660922016372248,0.20056022408963586,0.029980657640232056,0.2951127819548872,0.5206766917293233,0.18421052631578946,364.1,346.9,388.70000000000005,0.16605563942204027,5.0,0.1435406698564593,6.0,0.3932144410613323,4.0,0.04004776356191809,6.0,0.3082706766917293,6.0,0.3310560992840665,6.0,0.8827239921688758,6.0,0.24317183948574986
Maximin,0.07578857783462967,0.018606339236784505,0.3062558245084759,0.36587559072274695,0.43699961485196387,0.2259234431667784,0.2706766917293233,0.16893580353295995,0.2010270774976657,0.03034600113442998,0.2387218045112782,0.5037593984962406,0.2575187969924812,344.5,323.8,378.5,0.15441017899503973,8.0,0.14154704944178642,8.0,0.3858201684275657,6.0,0.009689334915282274,10.0,0.2706766917293233,10.0,0.0,11.0,0.9308698921447129,2.0,0.2182546131593069
Nash Bargaining,0.0876614904477486,0.02202879860338587,0.22011649221284318,0.3650842115630848,0.46867189484639143,0.23149137456089844,0.2857142857142857,0.1997845756139595,0.23417366946778712,0.029033687943262332,0.26879699248120303,0.5338345864661654,0.19736842105263158,357.5,340.0,384.40000000000003,0.0,11.0,0.0,11.0,0.41238038277512146,3.0,0.025737794411824947,8.0,0.2857142857142857,8.0,0.28126593978704467,9.0,0.9042588179881114,5.0,0.2019093497231036
Applicant,0.06862024951295045,0.018660910883811287,0.04694727345066149,0.3951647934480913,0.43707336660356794,0.17521740039299302,0.212406015037594,0.1906505816458423,0.2235294117647059,0.03698630136986303,0.212406015037594,0.7424812030075187,0.045112781954887216,380.0,360.2,388.6,0.04571921500970444,10.0,0.045454545454545414,9.0,0.25142557514583463,8.0,0.0,11.0,0.212406015037594,11.0,0.8467056960434651,2.0,0.9304455744274452,3.0,0.14439136404614542
