Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Demographic_Parity Rank,Equal_Opportunity Normalized,Equal_Opportunity Rank,Conditional_Outcome_Parity Normalized,Conditional_Outcome_Parity Rank,Total_Profit Normalized,Total_Profit Rank,Accuracy Normalized,Accuracy Rank,Unexploited_Profit Normalized,Unexploited_Profit Rank,Total_Loss Normalized,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.779760019045077,0.006821203641387129,0.0,1.0,1.0,1.0,1.0,-0.08057105349524118,0.0,0.0,0.8206214689265536,0.009887005649717515,0.1694915254237288,2124.0,2001.3,2103.0,0.6090467885038297,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.921809357700766
Bank,0.7035941394612406,0.14523927597322092,0.06414464363157003,0.40790901654804657,0.3769506597819851,0.38110296607803784,0.803201506591337,-0.07919577414162249,-0.049030868628858526,-0.05396145540106112,0.914783427495292,0.0,0.0852165725047081,1730.7,1809.8000000000002,1776.3000000000002,0.6157200272996133,2.0,0.7920978935833437,3.0,0.44035217088763,7.0,0.8949175073916636,3.0,0.803201506591337,2.0,0.7717204058022492,4.0,0.10239988665608964,10.0,0.7114785437523163
Outcome_Pred_Model,0.6306885330411938,0.11732428246189715,0.1291425982043108,0.40065040708482974,0.39317269076305217,0.39633812866107204,0.7725988700564972,-0.09165142919655556,-0.07089734386216795,-0.05981793518743583,0.8422787193973634,0.010357815442561206,0.14736346516007534,1688.7000000000003,1740.5,1759.0,0.5552817168423447,4.0,0.6993790332399855,4.0,0.37961314570150373,8.0,0.7943330607916843,4.0,0.7725988700564972,4.0,0.5404040268576097,5.0,0.2834203337526945,9.0,0.6548851326897055
Regulatory,0.7315255135891376,0.1610302665348537,0.03487287433270298,0.3786387189662859,0.354245553643144,0.35126873570503164,0.7961393596986818,0.05994186319096073,0.042455132806891616,-0.09642037830584771,0.9336158192090396,0.0014124293785310734,0.06497175141242938,1720.9,1825.0,1776.9,0.709145370440585,1.0,0.8199805186898819,2.0,0.0,11.0,0.9334531145608126,2.0,0.7961393596986818,3.0,0.8758935251569384,2.0,0.0,11.0,0.6469754408797523
Compromise Programming,0.4993841495171647,0.08993176424369084,0.1892040060037623,0.39202297653071283,0.3737649008733346,0.3811778811778812,0.6850282485875706,0.16472877303202216,0.18209619526202436,-0.07759475023436446,0.7217514124293786,0.08192090395480225,0.1963276836158192,1626.6,1657.3,1728.2,0.20069007355729107,7.0,0.22787044928771483,7.0,0.1952453247151542,10.0,0.6131785597671329,5.0,0.6850282485875706,5.0,0.3266559565096689,6.0,0.46105268365634505,8.0,0.47583409104294394
Nash Bargaining,0.18126379777446203,0.0410965064194422,0.20786773824177698,0.38336370124097,0.35597947344935293,0.2860233468847701,0.3709981167608286,0.1105068216981574,0.14041636755204595,-0.03614146580898503,0.3615819209039548,0.4307909604519774,0.2076271186440678,1474.6999999999998,1413.1,1573.7,0.4637900963069691,5.0,0.4046024595154024,5.0,0.625167765943176,3.0,0.17428282727882768,6.0,0.3709981167608286,6.0,0.2602349900766656,10.0,0.7777348351975023,7.0,0.401047384610126
Kalai-Smorodinsky,0.1796079662742416,0.04054907467934991,0.20777591910093068,0.3838356538356538,0.3546407853636769,0.2848624412661555,0.3677024482109228,0.11592198415303107,0.14544149318018662,-0.037439613526570104,0.3573446327683616,0.4354990583804143,0.2071563088512241,1474.1,1411.7,1572.9,0.43751421854857064,6.0,0.3832947765737247,6.0,0.611704349387525,4.0,0.17199835420068196,7.0,0.3677024482109228,7.0,0.26056175837757584,9.0,0.7812847675414301,6.0,0.39132436371172463
Nash Social Welfare,0.08865156567918497,0.014859874219507248,0.19084613135362913,0.3968199657056491,0.34561260916682607,0.26492751444137097,0.3159133709981168,0.19943894853642147,0.23583632447954056,-0.047771236333053024,0.2876647834274953,0.5178907721280602,0.19444444444444445,1463.6999999999998,1392.6999999999998,1558.9,0.03226662622279508,9.0,0.0,10.0,0.504552490122767,5.0,0.046510073287567386,8.0,0.3159133709981168,8.0,0.3208119189210815,7.0,0.9478716073667245,4.0,0.24303118632587262
Proportional Fairness,0.08865156567918497,0.014859874219507248,0.19084613135362913,0.3968199657056491,0.34561260916682607,0.26492751444137097,0.3159133709981168,0.19943894853642147,0.23583632447954056,-0.047771236333053024,0.2876647834274953,0.5178907721280602,0.19444444444444445,1463.6999999999998,1392.6999999999998,1558.9,0.03226662622279508,9.0,0.0,10.0,0.504552490122767,5.0,0.046510073287567386,8.0,0.3159133709981168,8.0,0.3208119189210815,7.0,0.9478716073667245,4.0,0.24303118632587262
Applicant,0.05494013998375726,0.011892721411987467,0.055377518527953855,0.43142447009956625,0.33007745266781413,0.1960206599888337,0.2076271186440678,0.19336740275368433,0.2270208183776023,-0.03261951614770231,0.2015065913370998,0.7344632768361582,0.064030131826742,1493.5,1419.1,1530.3,0.061727458860999396,8.0,0.037379763789114784,8.0,0.6616947919014335,2.0,0.0,11.0,0.2076271186440678,11.0,0.8029210742856485,3.0,0.9671127126029945,2.0,0.22773529761011374
Maximin,0.06878279432882382,0.012472266786028254,0.28099157901955835,0.3887157334499854,0.35473799961751773,0.2543931841632142,0.2937853107344633,0.20608873677465733,0.23038047379755922,-0.07159233536942511,0.2391713747645951,0.4745762711864407,0.2862523540489642,1398.1,1301.8000000000002,1532.9,0.0,11.0,0.023134055765250294,9.0,0.2574978793141369,9.0,0.019098061111394372,10.0,0.2937853107344633,10.0,0.0,11.0,0.9633545328749901,3.0,0.1728333123788916
