Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Demographic_Parity Rank,Equal_Opportunity Normalized,Equal_Opportunity Rank,Conditional_Outcome_Parity Normalized,Conditional_Outcome_Parity Rank,Total_Profit Normalized,Total_Profit Rank,Accuracy Normalized,Accuracy Rank,Unexploited_Profit Normalized,Unexploited_Profit Rank,Total_Loss Normalized,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.8063006935264503,0.009261888678398722,0.0,1.0,1.0,1.0,1.0,0.005328441649196325,0.0,0.0,0.8383458646616542,0.013157894736842105,0.14849624060150377,532.0,505.3,528.8,0.9709246901811251,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9941849380362251
Regulatory,0.7383192622658861,0.15258425145819832,0.051688490024912576,0.36327126688572475,0.34915138786399497,0.3456416464891041,0.8082706766917294,0.010482180293501009,0.01238198421297021,0.006981580510992291,0.9360902255639098,0.0018796992481203006,0.06203007518796992,437.20000000000005,459.1,447.29999999999995,0.9428026692087705,2.0,0.9297012302284706,2.0,0.7595233379547102,6.0,0.9098529931759546,2.0,0.8082706766917294,2.0,0.8283632764292663,2.0,0.0,11.0,0.8457440707445788
Compromise Programming,0.5084781734137092,0.1039433670671519,0.20130462405578456,0.3446925834022608,0.31986149741726744,0.33064426393679763,0.6560150375939849,0.10255066387141853,0.10023216220399311,0.0012793497892835681,0.7330827067669173,0.09210526315789473,0.17481203007518797,396.30000000000007,408.7,421.6,0.4404194470924695,8.0,0.43093145869947336,9.0,0.9559335072580104,2.0,0.6050714400222995,5.0,0.6560150375939849,5.0,0.33154816292911043,6.0,0.33938098317412085,8.0,0.6626908939121499
Bank,0.6935593715500744,0.14280996061618226,0.0964483807407242,0.3658536585365854,0.3538532856521163,0.3523976754881057,0.8026315789473685,-0.10316212438853956,-0.08398080792446982,0.025239100052067642,0.924812030075188,0.0,0.07518796992481203,433.6,453.3,443.6,0.4370829361296471,9.0,0.5231985940246051,5.0,0.1306532204287818,9.0,0.8504989887223522,3.0,0.8026315789473685,3.0,0.679733649482469,4.0,0.06819794659004662,10.0,0.6046996606351036
Outcome_Pred_Model,0.6166447440809265,0.1343754673712548,0.17103411105336602,0.337101872112813,0.33912319539838415,0.3379561383565696,0.7481203007518797,-0.18326345213137674,-0.17613372542950012,0.015037593984962405,0.8590225563909775,0.005639097744360902,0.13533834586466165,409.0,427.1,427.9,0.0,11.0,0.0,11.0,0.4820384294068508,7.0,0.7485060868554514,4.0,0.7481203007518797,4.0,0.432064383659031,5.0,0.12704775258917186,9.0,0.5453570235532124
Nash Social Welfare,0.07958186605582362,0.017082429333466275,0.2096378566945221,0.35490687423895945,0.3439359168768262,0.20368815893925096,0.25375939849624063,0.08604122990915444,0.09023370995201982,0.006064281382656134,0.2462406015037594,0.5808270676691729,0.17293233082706766,352.20000000000005,336.4,376.7,0.5305052430886561,5.0,0.4876977152899825,6.0,0.7911191968196222,4.0,0.03633204120019997,8.0,0.25375939849624063,8.0,0.30387684294711353,7.0,0.9454339120330927,3.0,0.3730950556201919
Proportional Fairness,0.07958186605582362,0.017082429333466275,0.2096378566945221,0.35490687423895945,0.3439359168768262,0.20368815893925096,0.25375939849624063,0.08604122990915444,0.09023370995201982,0.006064281382656134,0.2462406015037594,0.5808270676691729,0.17293233082706766,352.20000000000005,336.4,376.7,0.5305052430886561,5.0,0.4876977152899825,6.0,0.7911191968196222,4.0,0.03633204120019997,8.0,0.25375939849624063,8.0,0.30387684294711353,7.0,0.9454339120330927,3.0,0.3730950556201919
Nash Bargaining,0.17966410038321273,0.04660281045914552,0.23539192808393913,0.33690918534499975,0.3304316447587152,0.2337731719757036,0.32894736842105265,-0.043675751222921,-0.0362482587834701,0.023993808049535548,0.34962406015037595,0.4567669172932331,0.19360902255639098,353.90000000000003,342.1,380.4,0.7616777883698763,4.0,0.7942003514938486,4.0,0.1735466116271095,8.0,0.1690464264901512,6.0,0.32894736842105265,6.0,0.21835791156111606,9.0,0.7394619998128459,6.0,0.3524331126658485
Kalai-Smorodinsky,0.17808724957339406,0.04660281045914552,0.23539192808393913,0.33627172692631296,0.3289368764478034,0.2321123321123321,0.325187969924812,-0.03895877009084553,-0.030614455966568643,0.026274509803921542,0.3458646616541353,0.4605263157894737,0.19360902255639098,353.5,341.5,380.0,0.7874165872259298,3.0,0.8261862917398946,3.0,0.09498910675381411,10.0,0.16695543814116529,7.0,0.325187969924812,7.0,0.21835791156111606,9.0,0.7394619998128459,6.0,0.3399474143941067
Applicant,0.05218323965186219,0.01721791340545391,0.08066117974584322,0.356558202543604,0.3236849147333339,0.14389780696236704,0.16353383458646617,0.12229210342417893,0.12007429190527782,0.0050055617352613435,0.17105263157894737,0.7725563909774437,0.05639097744360902,369.0,346.9,377.20000000000005,0.33269780743565314,10.0,0.31827768014059765,10.0,0.8275862068965538,3.0,0.0,11.0,0.16353383458646617,11.0,0.7321566057694104,3.0,0.9444886019687044,5.0,0.2974703367010279
