Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Demographic_Parity Rank,Equal_Opportunity Normalized,Equal_Opportunity Rank,Conditional_Outcome_Parity Normalized,Conditional_Outcome_Parity Rank,Total_Profit Normalized,Total_Profit Rank,Accuracy Normalized,Accuracy Rank,Unexploited_Profit Normalized,Unexploited_Profit Rank,Total_Loss Normalized,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.8063006935264503,0.009261888678398722,0.0,1.0,1.0,1.0,1.0,0.005328441649196325,0.0,0.0,0.8383458646616542,0.013157894736842105,0.14849624060150377,525.0,451.79999999999995,528.8,0.9823546427538329,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9964709285507666
Regulatory,0.7383192622658861,0.15258425145819832,0.051688490024912576,0.36327126688572475,0.34915138786399497,0.3456416464891041,0.8082706766917294,0.010482180293501009,0.01238198421297021,0.006981580510992291,0.9360902255639098,0.0018796992481203006,0.06203007518796992,443.0,476.4,447.29999999999995,0.9652878218108187,2.0,0.9586734166752761,2.0,0.8900401069518714,2.0,0.9106262296871284,2.0,0.8082706766917294,2.0,0.8435279385740729,7.0,0.0,11.0,0.8764991023666555
Outcome_Pred_Model,0.6166447440809265,0.1343754673712548,0.17103411105336602,0.337101872112813,0.33912319539838415,0.3379561383565696,0.7481203007518797,-0.18326345213137674,-0.17613372542950012,0.015037593984962405,0.8590225563909775,0.005639097744360902,0.13533834586466165,429.3,438.3,427.9,0.39311541799247873,8.0,0.41212935220580627,8.0,0.7631578947368421,6.0,0.7506632774581398,4.0,0.7481203007518797,4.0,0.4822433404850388,9.0,0.12704775258917186,10.0,0.680635438338244
Bank,0.6335999905822202,0.13221932798245176,0.1564077617085785,0.35962301587301587,0.36566952375546347,0.36257165470324776,0.7537593984962406,-0.1852725366876311,-0.17867203219315897,0.01680071492403934,0.8421052631578947,0.0,0.15789473684210525,434.0,428.79999999999995,431.3,0.38646225050621896,9.0,0.403657402624238,9.0,0.7353887399463803,7.0,0.7729539865283354,3.0,0.7537593984962406,3.0,0.5265204132339546,8.0,0.14209173698200342,9.0,0.6804647547946832
Compromise Programming,0.38559724501811976,0.08365039882347075,0.006956390764578858,0.3721198850211447,0.30498814727116935,0.2532891683220227,0.5225563909774437,-0.14133473095737242,-0.15338182943816747,-0.009152351450295693,0.6033834586466166,0.3890977443609023,0.007518796992481203,411.9,453.5,416.79999999999995,0.5319641307492047,7.0,0.48806694906498604,7.0,0.8558504646578429,4.0,0.44690994761935665,5.0,0.5225563909774437,5.0,0.9789415244575085,6.0,0.48097066848275105,8.0,0.5759674649962583
Nash Bargaining,0.18849727568231175,0.03336685652325639,0.3303368636795367,0.35403611641235405,0.39029806166662606,0.27079756142409106,0.38345864661654133,0.301974143955276,0.29961306299334467,-0.008512990602542847,0.37969924812030076,0.34210526315789475,0.2781954887218045,386.0,319.9,388.29999999999995,0.0,11.0,0.0,11.0,0.8659203980099501,3.0,0.1877867273303587,6.0,0.38345864661654133,6.0,0.0,10.0,0.8318129329064123,6.0,0.3641248837146783
Kalai-Smorodinsky,0.186390143564912,0.03336685652325639,0.3303368636795367,0.35349784567175874,0.38880329335571434,0.26917380417120607,0.37969924812030076,0.29507337526205457,0.2914409534127844,-0.009724106739032123,0.37593984962406013,0.3458646616541353,0.2781954887218045,385.6,319.4,387.79999999999995,0.022852183974544138,10.0,0.027275544994317502,10.0,0.8468453188602441,5.0,0.18501652466784713,7.0,0.37969924812030076,7.0,0.0,10.0,0.8318129329064123,6.0,0.3628225047486474
Nash Social Welfare,0.08947352979210259,0.02024959494491251,0.004737177151572709,0.2923687423687424,0.3285287209054025,0.1460527333843416,0.23684210526315788,0.13452131376659676,0.12855595109116236,-0.020000000000000018,0.2631578947368421,0.7330827067669173,0.0037593984962406013,380.4,407.4,389.1,0.5545270465721724,5.0,0.570926748631057,5.0,0.6849999999999997,8.0,0.057602273184485915,8.0,0.23684210526315788,8.0,0.9856595564333737,4.0,0.9233357163990151,3.0,0.3541627060565948
Proportional Fairness,0.08947352979210259,0.02024959494491251,0.004737177151572709,0.2923687423687424,0.3285287209054025,0.1460527333843416,0.23684210526315788,0.13452131376659676,0.12855595109116236,-0.020000000000000018,0.2631578947368421,0.7330827067669173,0.0037593984962406013,380.4,407.4,389.1,0.5545270465721724,5.0,0.570926748631057,5.0,0.6849999999999997,8.0,0.057602273184485915,8.0,0.23684210526315788,8.0,0.9856595564333737,4.0,0.9233357163990151,3.0,0.3541627060565948
Maximin,0.07883960375844794,0.022144006431028464,0.0,0.2840544948062414,0.32030749519538754,0.13526409986293766,0.2161654135338346,0.12089447938504544,0.10431821699427332,-0.040253018976423194,0.2462406015037594,0.7537593984962406,0.0,378.80000000000007,406.2,387.20000000000005,0.5996528782181081,4.0,0.6518235354892035,4.0,0.36601495112133464,10.0,0.04362207233797568,10.0,0.2161654135338346,10.0,1.0,1.0,0.9101178804006894,5.0,0.28832414574901755
