Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Demographic_Parity Rank,Equal_Opportunity Normalized,Equal_Opportunity Rank,Conditional_Outcome_Parity Normalized,Conditional_Outcome_Parity Rank,Total_Profit Normalized,Total_Profit Rank,Accuracy Normalized,Accuracy Rank,Unexploited_Profit Normalized,Unexploited_Profit Rank,Total_Loss Normalized,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.779694422409314,0.006742789844966231,0.0,1.0,1.0,1.0,1.0,-0.0728940217391304,0.0,0.0,0.82015065913371,0.009887005649717515,0.1699623352165725,2103.0,1760.0,2103.3999999999996,0.6355584585238409,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9271116917047683
Outcome_Pred_Model,0.6108965381939587,0.12255129846444332,0.15029600948643929,0.39186831755988744,0.3903182786260473,0.39099149248204595,0.762241054613936,-0.07802048494983282,-0.05727294512341241,-0.05224017371556067,0.8328625235404896,0.006591337099811676,0.1605461393596987,1746.5,1701.8999999999999,1746.4,0.6099281515349443,5.0,0.751960332103321,4.0,0.37356708429008345,5.0,0.7695842286356406,4.0,0.762241054613936,3.0,0.6145637953498035,8.0,0.26416447522802217,9.0,0.6555123147377081
Regulatory,0.7132485289365394,0.16412647780344589,0.053325398031273875,0.37240317943514295,0.3529460093523433,0.3500214071291626,0.7909604519774012,0.06142349498327759,0.05050989163138697,-0.08339308552514124,0.9279661016949152,0.0014124293785310734,0.07062146892655367,1737.1,1874.5,1768.6999999999998,0.6929065969954279,2.0,0.7812499999999999,3.0,0.0,11.0,0.9092987339877412,2.0,0.7909604519774012,2.0,0.8632462758068786,7.0,0.0,11.0,0.6368252469875944
Bank,0.6146208961231414,0.12603834640181633,0.1529193107752165,0.3885424523722396,0.3949594664648206,0.39163964008370217,0.7556497175141242,-0.12658862876254184,-0.10780946294964988,-0.05094754188409778,0.818738229755179,0.0,0.1812617702448211,1741.5,1664.1,1734.5,0.36710646636185496,6.0,0.5330950184501844,6.0,0.3890675520245839,4.0,0.7746681241422617,3.0,0.7556497175141242,4.0,0.6078363027446756,9.0,0.2420081261005767,10.0,0.6084283155113899
Compromise Programming,0.3838358136959641,0.07853949463234611,0.008863637747683232,0.41137890185982123,0.3994649089741495,0.26754823073159223,0.5494350282485876,-0.038592182274247544,-0.03181830284634024,-0.06538930380290153,0.628060263653484,0.3653483992467043,0.006591337099811676,1627.4,1819.2,1665.4,0.8070542129327235,1.0,0.862200184501845,2.0,0.2158905814416946,9.0,0.45963738170119056,5.0,0.5494350282485876,5.0,0.9772690778382277,6.0,0.5438110154953225,8.0,0.5162904465145568
Nash Bargaining,0.10451988559580229,0.01686804161888664,0.3899374466465619,0.37559410778712143,0.33633739918107547,0.2802650815786683,0.3695856873822976,0.20001567725752512,0.23090236174348322,-0.04484586687610448,0.3215630885122411,0.3286252354048964,0.3498116760828625,1553.0,1142.5,1534.8,0.0,11.0,0.0,11.0,0.462235189000359,2.0,0.07836012027864399,6.0,0.3695856873822976,6.0,0.0,10.0,0.9356651765804878,4.0,0.2559533368087196
Kalai-Smorodinsky,0.10078341342676733,0.016245013910841873,0.3899374466465619,0.3754274081326571,0.33346713511678167,0.27719698428747974,0.3625235404896422,0.19913252508361207,0.2274143302180685,-0.04888888888888887,0.3135593220338983,0.3366290018832392,0.3498116760828625,1550.0,1138.1999999999998,1531.6,0.004415414761593794,10.0,0.015106088560885689,10.0,0.41375368735876894,3.0,0.07325968835669379,7.0,0.3625235404896422,7.0,0.0,10.0,0.9396238314838417,3.0,0.2432951742912682
Applicant,0.04711486322439614,0.01330207037511195,0.0,0.2866552279353712,0.3452244273139795,0.10510083378398412,0.1548964218455744,0.07418478260869565,0.07969220118752829,-0.06734397677793902,0.17231638418079095,0.827683615819209,0.0,1455.8,1578.9,1493.3,0.6291051600261268,4.0,0.6548662361623616,5.0,0.19245131231370205,10.0,0.0,11.0,0.1548964218455744,11.0,1.0,1.0,0.9583229963967032,2.0,0.22626986320619552
Nash Social Welfare,0.0953328673959864,0.019727169491350324,0.0026042975391226335,0.3747504818804723,0.35783841944176004,0.16050936949589248,0.2612994350282486,0.17780100334448162,0.19836515163617968,-0.057954868683037786,0.2933145009416196,0.7048022598870056,0.0018832391713747645,1501.3000000000002,1639.0,1545.1000000000001,0.11106466361855005,7.0,0.1409132841328412,7.0,0.3050398804878658,7.0,0.0658194779898562,8.0,0.2612994350282486,8.0,0.9933212427749132,4.0,0.9174985678959972,6.0,0.20090457843055387
Proportional Fairness,0.0953328673959864,0.019727169491350324,0.0026042975391226335,0.3747504818804723,0.35783841944176004,0.16050936949589248,0.2612994350282486,0.17780100334448162,0.19836515163617968,-0.057954868683037786,0.2933145009416196,0.7048022598870056,0.0018832391713747645,1501.3000000000002,1639.0,1545.1000000000001,0.11106466361855005,7.0,0.1409132841328412,7.0,0.3050398804878658,7.0,0.0658194779898562,8.0,0.2612994350282486,8.0,0.9933212427749132,4.0,0.9174985678959972,6.0,0.20090457843055387
